2023-06-11 14:31:39,843 INFO    StreamThr :28332 [internal.py:wandb_internal():86] W&B internal server running at pid: 28332, started at: 2023-06-11 14:31:39.843814
2023-06-11 14:31:39,843 DEBUG   HandlerThread:28332 [handler.py:handle_request():144] handle_request: status
2023-06-11 14:31:39,846 INFO    WriterThread:28332 [datastore.py:open_for_write():85] open: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230611_143139-fzdf58va\run-fzdf58va.wandb
2023-06-11 14:31:39,846 DEBUG   SenderThread:28332 [sender.py:send():375] send: header
2023-06-11 14:31:39,913 DEBUG   SenderThread:28332 [sender.py:send():375] send: run
2023-06-11 14:31:40,517 INFO    SenderThread:28332 [dir_watcher.py:__init__():219] watching files in: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230611_143139-fzdf58va\files
2023-06-11 14:31:40,517 INFO    SenderThread:28332 [sender.py:_start_run_threads():1124] run started: fzdf58va with start time 1686486699.846829
2023-06-11 14:31:40,517 DEBUG   SenderThread:28332 [sender.py:send_request():402] send_request: summary_record
2023-06-11 14:31:40,517 INFO    SenderThread:28332 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-11 14:31:40,523 DEBUG   HandlerThread:28332 [handler.py:handle_request():144] handle_request: check_version
2023-06-11 14:31:40,523 DEBUG   SenderThread:28332 [sender.py:send_request():402] send_request: check_version
2023-06-11 14:31:40,837 DEBUG   HandlerThread:28332 [handler.py:handle_request():144] handle_request: run_start
2023-06-11 14:31:40,845 DEBUG   HandlerThread:28332 [system_info.py:__init__():31] System info init
2023-06-11 14:31:40,845 DEBUG   HandlerThread:28332 [system_info.py:__init__():46] System info init done
2023-06-11 14:31:40,845 INFO    HandlerThread:28332 [system_monitor.py:start():181] Starting system monitor
2023-06-11 14:31:40,846 INFO    SystemMonitor:28332 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-11 14:31:40,846 INFO    HandlerThread:28332 [system_monitor.py:probe():201] Collecting system info
2023-06-11 14:31:40,851 INFO    SystemMonitor:28332 [interfaces.py:start():190] Started cpu monitoring
2023-06-11 14:31:40,851 INFO    SystemMonitor:28332 [interfaces.py:start():190] Started disk monitoring
2023-06-11 14:31:40,851 INFO    SystemMonitor:28332 [interfaces.py:start():190] Started gpu monitoring
2023-06-11 14:31:40,858 INFO    SystemMonitor:28332 [interfaces.py:start():190] Started memory monitoring
2023-06-11 14:31:40,866 INFO    SystemMonitor:28332 [interfaces.py:start():190] Started network monitoring
2023-06-11 14:31:40,866 DEBUG   HandlerThread:28332 [system_info.py:probe():195] Probing system
2023-06-11 14:31:40,866 DEBUG   HandlerThread:28332 [system_info.py:_probe_git():180] Probing git
2023-06-11 14:31:40,938 DEBUG   HandlerThread:28332 [system_info.py:_probe_git():188] Probing git done
2023-06-11 14:31:40,938 DEBUG   HandlerThread:28332 [system_info.py:probe():240] Probing system done
